method,target,target_type,metric,value,n_masked,repeat,mask_seed,mechanism,mask_rate
mean_mode,iop,continuous,mae,3.3828087626476173,4,0,20260724,mar,0.2
mean_mode,iop,continuous,rmse,3.424440913555295,4,0,20260724,mar,0.2
mean_mode,visual_acuity,continuous,mae,0.1299421700989719,4,0,20260724,mar,0.2
mean_mode,visual_acuity,continuous,rmse,0.21661828237642736,4,0,20260724,mar,0.2
mean_mode,diagnosis,categorical,accuracy,0.16666666666666666,6,0,20260724,mar,0.2
mean_mode,diagnosis,categorical,macro_precision,0.05555555555555555,6,0,20260724,mar,0.2
mean_mode,diagnosis,categorical,macro_recall,0.3333333333333333,6,0,20260724,mar,0.2
mean_mode,diagnosis,categorical,macro_f1,0.09523809523809523,6,0,20260724,mar,0.2
mean_mode,followup_status,categorical,accuracy,0.2,5,0,20260724,mar,0.2
mean_mode,followup_status,categorical,macro_precision,0.06666666666666667,5,0,20260724,mar,0.2
mean_mode,followup_status,categorical,macro_recall,0.3333333333333333,5,0,20260724,mar,0.2
mean_mode,followup_status,categorical,macro_f1,0.1111111111111111,5,0,20260724,mar,0.2
knn,iop,continuous,mae,1.8298478490884826,4,0,20260724,mar,0.2
knn,iop,continuous,rmse,1.9338883245726273,4,0,20260724,mar,0.2
knn,visual_acuity,continuous,mae,0.12291605167910191,4,0,20260724,mar,0.2
knn,visual_acuity,continuous,rmse,0.1387760690311395,4,0,20260724,mar,0.2
knn,diagnosis,categorical,accuracy,1.0,6,0,20260724,mar,0.2
knn,diagnosis,categorical,macro_precision,1.0,6,0,20260724,mar,0.2
knn,diagnosis,categorical,macro_recall,1.0,6,0,20260724,mar,0.2
knn,diagnosis,categorical,macro_f1,1.0,6,0,20260724,mar,0.2
knn,followup_status,categorical,accuracy,0.8,5,0,20260724,mar,0.2
knn,followup_status,categorical,macro_precision,0.5,5,0,20260724,mar,0.2
knn,followup_status,categorical,macro_recall,0.6666666666666666,5,0,20260724,mar,0.2
knn,followup_status,categorical,macro_f1,0.5555555555555555,5,0,20260724,mar,0.2
random_forest,iop,continuous,mae,0.8171140696740005,4,0,20260724,mar,0.2
random_forest,iop,continuous,rmse,1.0304685416377257,4,0,20260724,mar,0.2
random_forest,visual_acuity,continuous,mae,0.13523456300255982,4,0,20260724,mar,0.2
random_forest,visual_acuity,continuous,rmse,0.14264326080208561,4,0,20260724,mar,0.2
random_forest,diagnosis,categorical,accuracy,1.0,6,0,20260724,mar,0.2
random_forest,diagnosis,categorical,macro_precision,1.0,6,0,20260724,mar,0.2
random_forest,diagnosis,categorical,macro_recall,1.0,6,0,20260724,mar,0.2
random_forest,diagnosis,categorical,macro_f1,1.0,6,0,20260724,mar,0.2
random_forest,followup_status,categorical,accuracy,0.8,5,0,20260724,mar,0.2
random_forest,followup_status,categorical,macro_precision,0.5,5,0,20260724,mar,0.2
random_forest,followup_status,categorical,macro_recall,0.6666666666666666,5,0,20260724,mar,0.2
random_forest,followup_status,categorical,macro_f1,0.5555555555555555,5,0,20260724,mar,0.2
gradient_boosting,iop,continuous,mae,1.0473273591443788,4,0,20260724,mar,0.2
gradient_boosting,iop,continuous,rmse,1.1762083438652797,4,0,20260724,mar,0.2
gradient_boosting,visual_acuity,continuous,mae,0.10576943064821707,4,0,20260724,mar,0.2
gradient_boosting,visual_acuity,continuous,rmse,0.10884896076456664,4,0,20260724,mar,0.2
gradient_boosting,diagnosis,categorical,accuracy,1.0,6,0,20260724,mar,0.2
gradient_boosting,diagnosis,categorical,macro_precision,1.0,6,0,20260724,mar,0.2
gradient_boosting,diagnosis,categorical,macro_recall,1.0,6,0,20260724,mar,0.2
gradient_boosting,diagnosis,categorical,macro_f1,1.0,6,0,20260724,mar,0.2
gradient_boosting,followup_status,categorical,accuracy,0.8,5,0,20260724,mar,0.2
gradient_boosting,followup_status,categorical,macro_precision,0.5,5,0,20260724,mar,0.2
gradient_boosting,followup_status,categorical,macro_recall,0.6666666666666666,5,0,20260724,mar,0.2
gradient_boosting,followup_status,categorical,macro_f1,0.5555555555555555,5,0,20260724,mar,0.2
plain_vae,iop,continuous,mae,1.1876214208459062,4,0,20260724,mar,0.2
plain_vae,iop,continuous,rmse,1.2411178259956899,4,0,20260724,mar,0.2
plain_vae,visual_acuity,continuous,mae,0.15780376153418435,4,0,20260724,mar,0.2
plain_vae,visual_acuity,continuous,rmse,0.173582169585823,4,0,20260724,mar,0.2
plain_vae,diagnosis,categorical,accuracy,1.0,6,0,20260724,mar,0.2
plain_vae,diagnosis,categorical,macro_precision,1.0,6,0,20260724,mar,0.2
plain_vae,diagnosis,categorical,macro_recall,1.0,6,0,20260724,mar,0.2
plain_vae,diagnosis,categorical,macro_f1,1.0,6,0,20260724,mar,0.2
plain_vae,followup_status,categorical,accuracy,0.8,5,0,20260724,mar,0.2
plain_vae,followup_status,categorical,macro_precision,0.5,5,0,20260724,mar,0.2
plain_vae,followup_status,categorical,macro_recall,0.6666666666666666,5,0,20260724,mar,0.2
plain_vae,followup_status,categorical,macro_f1,0.5555555555555555,5,0,20260724,mar,0.2
sa_vae,iop,continuous,mae,0.8329665431316058,4,0,20260724,mar,0.2
sa_vae,iop,continuous,rmse,1.159384687607841,4,0,20260724,mar,0.2
sa_vae,visual_acuity,continuous,mae,0.1662259732432744,4,0,20260724,mar,0.2
sa_vae,visual_acuity,continuous,rmse,0.19217326692404377,4,0,20260724,mar,0.2
